account_id,role,creation_day
VEND:0081,vendor,-3250
VEND:0082,vendor,-2783
VEND:0083,vendor,-2691
VEND:0084,vendor,-1517
VEND:0085,vendor,294
VEND:0086,vendor,-2835
VEND:0087,vendor,-1222
VEND:0088,vendor,-240
VEND:0089,vendor,-872
VEND:0090,vendor,-647
VEND:0091,vendor,-732
VEND:0092,vendor,-3428
VEND:0093,vendor,-728
VEND:0094,vendor,-232
VEND:0095,vendor,104
VEND:0096,vendor,-3039
VEND:0097,vendor,-34
VEND:0098,vendor,-1037
VEND:0099,vendor,-2825
VEND:0100,vendor,-1083
VEND:0101,vendor,-2251
VEND:0102,vendor,155
VEND:0103,vendor,-1515
VEND:0104,vendor,-1528
VEND:0105,vendor,-2883
VEND:0106,vendor,-3449
VEND:0107,vendor,-2973
VEND:0108,vendor,-2061
VEND:0109,vendor,-572
VEND:0110,vendor,-1785
VEND:0111,vendor,-1150
VEND:0112,vendor,-2136
VEND:0113,vendor,-1217
VEND:0114,vendor,152
VEND:0115,vendor,-860
VEND:0116,vendor,28
VEND:0117,vendor,-2998
VEND:0118,vendor,-2028
VEND:0119,vendor,-48
VEND:0120,vendor,-3437
VEND:0121,vendor,-3189
VEND:0122,vendor,241
VEND:0123,vendor,-2026
VEND:0124,vendor,-2588
VEND:0125,vendor,34
VEND:0126,vendor,-986
VEND:0127,vendor,-2361
VEND:0128,vendor,-3546
VEND:0129,vendor,-3490
VEND:0130,vendor,-2615
VEND:0131,vendor,144
VEND:0132,vendor,-2968
VEND:0133,vendor,-1247
VEND:0134,vendor,-966
VEND:0135,vendor,243
VEND:0136,vendor,289
VEND:0137,vendor,286
VEND:0138,vendor,-3423
VEND:0139,vendor,-1707
VEND:0140,vendor,-1136
VEND:0141,vendor,-1952
VEND:0142,vendor,-901
VEND:0143,vendor,-732
VEND:0144,vendor,-1290
VEND:0145,vendor,-1203
VEND:0146,vendor,-2924
VEND:0147,vendor,-1334
VEND:0148,vendor,6
VEND:0149,vendor,-1420
VEND:0150,vendor,-85
VEND:0151,vendor,-3626
VEND:0152,vendor,-2548
VEND:0153,vendor,292
VEND:0154,vendor,-965
VEND:0155,vendor,-2900
VEND:0156,vendor,-1562
VEND:0157,vendor,-1972
VEND:0158,vendor,-3016
VEND:0159,vendor,-590
VEND:0160,vendor,-2253
VEND:0161,vendor,-3326
VEND:0162,vendor,-3132
VEND:0163,vendor,-2020
VEND:0164,vendor,-3273
VEND:0165,vendor,-2729
VEND:0166,vendor,-1230
VEND:0167,vendor,-567
VEND:0168,vendor,237
VEND:0169,vendor,-3008
VEND:0170,vendor,-1987
VEND:0171,vendor,-2741
VEND:0172,vendor,-918
VEND:0173,vendor,-3332
VEND:0174,vendor,-1961
VEND:0175,vendor,-1210
VEND:0176,vendor,-1499
VEND:0177,vendor,-1166
VEND:0178,vendor,17
VEND:0179,vendor,-184
VEND:0180,vendor,-1203
VEND:0181,vendor,80
VEND:0182,vendor,-2386
VEND:0183,vendor,-3602
VEND:0184,vendor,-1885
VEND:0185,vendor,-2654
VEND:0186,vendor,-895
VEND:0187,vendor,-1773
VEND:0188,vendor,-48
VEND:0189,vendor,-2039
VEND:0190,vendor,-2226
VEND:0191,vendor,-1689
VEND:0192,vendor,-2079
VEND:0193,vendor,-2593
VEND:0194,vendor,-2317
VEND:0195,vendor,-1748
VEND:0196,vendor,-2844
VEND:0197,vendor,-3179
VEND:0198,vendor,-1394
VEND:0199,vendor,-1826
VEND:0200,vendor,-1683
VEND:0201,vendor,-3066
VEND:0202,vendor,-246
VEND:0203,vendor,-2552
VEND:0204,vendor,-3206
VEND:0205,vendor,-666
VEND:0206,vendor,-1737
VEND:0207,vendor,-2379
VEND:0208,vendor,207
VEND:0209,vendor,92
VEND:0210,vendor,181
VEND:0211,vendor,-184
VEND:0212,vendor,60
VEND:0213,vendor,-774
VEND:0214,vendor,-3265
VEND:0215,vendor,-2513
VEND:0216,vendor,-181
VEND:0217,vendor,-152
VEND:0218,vendor,-2800
VEND:0219,vendor,-1461
VEND:0220,vendor,-2806
VEND:0221,vendor,117
VEND:0222,vendor,-867
VEND:0223,vendor,-405
VEND:0224,vendor,-1149
VEND:0225,vendor,-296
VEND:0226,vendor,206
VEND:0227,vendor,-847
VEND:0228,vendor,141
VEND:0229,vendor,-1988
VEND:0230,vendor,-2763
VEND:0231,vendor,-2917
VEND:0232,vendor,-3174
VEND:0233,vendor,-1164
VEND:0234,vendor,9
VEND:0235,vendor,-1190
VEND:0236,vendor,-1789
VEND:0237,vendor,-1342
VEND:0238,vendor,-1457
VEND:0239,vendor,-2073
VEND:0240,vendor,-1094
VEND:0241,vendor,-1729
VEND:0242,vendor,154
VEND:0243,vendor,-2647
VEND:0244,vendor,-375
VEND:0245,vendor,-1747
VEND:0246,vendor,-1039
VEND:0247,vendor,-571
VEND:0248,vendor,-669
VEND:0249,vendor,-1640
VEND:0250,vendor,-1295
VEND:0251,vendor,-3502
VEND:0252,vendor,-940
VEND:0253,vendor,-1078
VEND:0254,vendor,-608
VEND:0255,vendor,-2119
VEND:0256,vendor,-1715
VEND:0257,vendor,-2185
VEND:0258,vendor,-2963
VEND:0259,vendor,-1179
VEND:0260,vendor,257
VEND:0261,vendor,-3579
VEND:0262,vendor,-913
VEND:0263,vendor,123
VEND:0264,vendor,-1996
VEND:0265,vendor,-1878
VEND:0266,vendor,-1362
VEND:0267,vendor,59
VEND:0268,vendor,-358
VEND:0269,vendor,-2608
VEND:0270,vendor,-605
VEND:0271,vendor,-1003
VEND:0272,vendor,-3066
VEND:0273,vendor,-371
VEND:0274,vendor,-2200
VEND:0275,vendor,-1980
VEND:0276,vendor,36
VEND:0277,vendor,-2916
VEND:0278,vendor,19
VEND:0279,vendor,-1374
VEND:0280,vendor,-3412
VEND:0281,vendor,-1949
VEND:0282,vendor,-2762
VEND:0283,vendor,-2925
VEND:0284,vendor,241
VEND:0285,vendor,-3137
VEND:0286,vendor,172
VEND:0287,vendor,66
VEND:0288,vendor,-437
VEND:0289,vendor,127
VEND:0290,vendor,189
VEND:0291,vendor,-1580
VEND:0292,vendor,-3170
VEND:0293,vendor,-1715
VEND:0294,vendor,-2162
VEND:0295,vendor,-1482
VEND:0296,vendor,-3067
VEND:0297,vendor,-2405
VEND:0298,vendor,277
VEND:0299,vendor,-2850
VEND:0300,vendor,-2515
VEND:0301,vendor,-333
VEND:0302,vendor,113
VEND:0303,vendor,-464
VEND:0304,vendor,-1454
VEND:0305,vendor,-2966
VEND:0306,vendor,-1211
VEND:0307,vendor,-979
VEND:0308,vendor,233
VEND:0309,vendor,-156
VEND:0310,vendor,201
VEND:0311,vendor,-2470
VEND:0312,vendor,280
VEND:0313,vendor,-894
VEND:0314,vendor,-2007
VEND:0315,vendor,-189
VEND:0316,vendor,-329
VEND:0317,vendor,-2483
VEND:0318,vendor,-1694
VEND:0319,vendor,-129
VEND:0320,vendor,-1410
VEND:0321,vendor,-1886
VEND:0322,vendor,-293
VEND:0323,vendor,-524
VEND:0324,vendor,-1061
VEND:0325,vendor,-2152
VEND:0326,vendor,95
VEND:0327,vendor,-2789
VEND:0328,vendor,-556
VEND:0329,vendor,-344
VEND:0330,vendor,-1370
VEND:0331,vendor,-2924
VEND:0332,vendor,-933
VEND:0333,vendor,-2359
VEND:0334,vendor,-2594
VEND:0335,vendor,-2911
VEND:0336,vendor,-3375
VEND:0337,vendor,-3595
VEND:0338,vendor,-3159
VEND:0339,vendor,-2238
VEND:0340,vendor,-3367
VEND:0341,vendor,279
VEND:0342,vendor,-360
VEND:0343,vendor,-3619
VEND:0344,vendor,-509
VEND:0345,vendor,-525
VEND:0346,vendor,-737
VEND:0347,vendor,-1003
VEND:0348,vendor,-2092
VEND:0349,vendor,-2779
VEND:0350,vendor,-2342
VEND:0351,vendor,50
VEND:0352,vendor,-3486
VEND:0353,vendor,-3254
VEND:0354,vendor,-3644
VEND:0355,vendor,-3597
VEND:0356,vendor,-353
VEND:0357,vendor,-1717
VEND:0358,vendor,-1134
VEND:0359,vendor,-3551
VEND:0360,vendor,-1325
VEND:0361,vendor,-1246
VEND:0362,vendor,-1598
VEND:0363,vendor,-2599
VEND:0364,vendor,-1288
VEND:0365,vendor,211
VEND:0366,vendor,-1636
VEND:0367,vendor,-965
VEND:0368,vendor,21
VEND:0369,vendor,-2744
VEND:0370,vendor,105
VEND:0371,vendor,-2181
VEND:0372,vendor,299
VEND:0373,vendor,-1523
VEND:0374,vendor,-1464
VEND:0375,vendor,-3356
VEND:0376,vendor,-312
VEND:0377,vendor,-161
VEND:0378,vendor,-3314
VEND:0379,vendor,149
VEND:0380,vendor,-2167
VEND:0381,vendor,-655
VEND:0382,vendor,-3480
VEND:0383,vendor,-2943
VEND:0384,vendor,-3151
VEND:0385,vendor,-3404
VEND:0386,vendor,-2370
VEND:0387,vendor,-1870
VEND:0388,vendor,-2403
VEND:0389,vendor,-519
VEND:0390,vendor,-708
VEND:0391,vendor,-3455
VEND:0392,vendor,-3080
VEND:0393,vendor,-1981
VEND:0394,vendor,-3640
VEND:0395,vendor,-3379
VEND:0396,vendor,-2955
VEND:0397,vendor,-1335
VEND:0398,vendor,-1175
VEND:0399,vendor,-2768
VEND:0400,vendor,-877
VEND:0401,vendor,-1724
VEND:0402,vendor,-386
VEND:0403,vendor,-292
VEND:0404,vendor,275
VEND:0405,vendor,-949
VEND:0406,vendor,-1708
VEND:0407,vendor,-3183
VEND:0408,vendor,-3289
VEND:0409,vendor,-390
VEND:0410,vendor,279
VEND:0411,vendor,-1083
VEND:0412,vendor,-35
VEND:0413,vendor,-2703
VEND:0414,vendor,136
VEND:0415,vendor,-518
VEND:0416,vendor,43
VEND:0417,vendor,-1810
VEND:0418,vendor,145
VEND:0419,vendor,-627
VEND:0420,vendor,-2258
VEND:0421,vendor,-1907
VEND:0422,vendor,-175
VEND:0423,vendor,-34
VEND:0424,vendor,-2482
VEND:0425,vendor,-751
VEND:0426,vendor,-3199
VEND:0427,vendor,-2310
VEND:0428,vendor,-3261
VEND:0429,vendor,-3050
VEND:0430,vendor,-429
VEND:0431,vendor,186
VEND:0432,vendor,-3514
VEND:0433,vendor,-1139
VEND:0434,vendor,-3624
VEND:0435,vendor,-2249
VEND:0436,vendor,-239
VEND:0437,vendor,-3054
VEND:0438,vendor,-1998
VEND:0439,vendor,-1888
VEND:0440,vendor,-1515
VEND:0441,vendor,-246
VEND:0442,vendor,-1516
VEND:0443,vendor,-3430
VEND:0444,vendor,-2032
VEND:0445,vendor,-1423
VEND:0446,vendor,297
VEND:0447,vendor,-400
VEND:0448,vendor,-647
VEND:0449,vendor,59
VEND:0450,vendor,-458
VEND:0451,vendor,-2995
VEND:0452,vendor,-1516
VEND:0453,vendor,-3158
VEND:0454,vendor,-2993
VEND:0455,vendor,-1868
VEND:0456,vendor,-164
VEND:0457,vendor,-3619
VEND:0458,vendor,-1276
VEND:0459,vendor,-1210
VEND:0460,vendor,285
VEND:0461,vendor,-475
VEND:0462,vendor,-2737
VEND:0463,vendor,-479
VEND:0464,vendor,149
VEND:0465,vendor,-2193
VEND:0466,vendor,-3203
VEND:0467,vendor,-1599
VEND:0468,vendor,-1401
VEND:0469,vendor,-1788
VEND:0470,vendor,-674
VEND:0471,vendor,-129
VEND:0472,vendor,-3436
VEND:0473,vendor,-1133
VEND:0474,vendor,-3447
VEND:0475,vendor,-1771
VEND:0476,vendor,-1037
VEND:0477,vendor,-2375
VEND:0478,vendor,32
VEND:0479,vendor,-372
VEND:0480,vendor,-997
VEND:0481,vendor,-2470
VEND:0482,vendor,-2629
VEND:0483,vendor,147
VEND:0484,vendor,-3318
VEND:0485,vendor,-232
VEND:0486,vendor,-1715
VEND:0487,vendor,-2503
VEND:0488,vendor,-2972
VEND:0489,vendor,-903
VEND:0490,vendor,-1492
VEND:0491,vendor,-1904
VEND:0492,vendor,-711
VEND:0493,vendor,-3229
VEND:0494,vendor,-896
VEND:0495,vendor,-1771
VEND:0496,vendor,-3208
VEND:0497,vendor,89
VEND:0498,vendor,-1747
VEND:0499,vendor,-3290
VEND:0500,vendor,-3029
VEND:0501,vendor,-2186
VEND:0502,vendor,-1355
VEND:0503,vendor,-1558
VEND:0504,vendor,84
VEND:0505,vendor,-2297
VEND:0506,vendor,-388
VEND:0507,vendor,-2157
VEND:0508,vendor,-1622
VEND:0509,vendor,-2347
VEND:0510,vendor,-2488
VEND:0511,vendor,-3244
VEND:0512,vendor,-2476
VEND:0513,vendor,-2997
VEND:0514,vendor,53
VEND:0515,vendor,-271
VEND:0516,vendor,-1571
VEND:0517,vendor,-150
VEND:0518,vendor,-427
VEND:0519,vendor,-3607
VEND:0520,vendor,-1787
VEND:0521,vendor,-3075
VEND:0522,vendor,-2385
VEND:0523,vendor,-1827
VEND:0524,vendor,-2347
VEND:0525,vendor,-775
VEND:0526,vendor,-2506
VEND:0527,vendor,-930
VEND:0528,vendor,-3270
VEND:0529,vendor,-1164
VEND:0530,vendor,67
VEND:0531,vendor,-569
VEND:0532,vendor,-3210
VEND:0533,vendor,-656
VEND:0534,vendor,-3265
VEND:0535,vendor,-3629
VEND:0536,vendor,-2769
VEND:0537,vendor,-3267
VEND:0538,vendor,-3579
VEND:0539,vendor,-702
VEND:0540,vendor,-977
VEND:0541,vendor,-3489
VEND:0542,vendor,-2649
VEND:0543,vendor,262
VEND:0544,vendor,188
VEND:0545,vendor,-1328
VEND:0546,vendor,-1152
VEND:0547,vendor,-2247
VEND:0548,vendor,-775
VEND:0549,vendor,-2540
VEND:0550,vendor,-269
VEND:0551,vendor,-3239
VEND:0552,vendor,-1677
VEND:0553,vendor,-1829
VEND:0554,vendor,-205
VEND:0555,vendor,26
VEND:0556,vendor,-806
VEND:0557,vendor,-224
VEND:0558,vendor,-283
VEND:0559,vendor,-1829
VEND:0560,vendor,-1041
VEND:0561,vendor,-1796
VEND:0562,vendor,104
VEND:0563,vendor,292
VEND:0564,vendor,-3380
VEND:0565,vendor,-1913
VEND:0566,vendor,-2153
VEND:0567,vendor,40
VEND:0568,vendor,-1965
VEND:0569,vendor,-1082
VEND:0570,vendor,-1555
VEND:0571,vendor,-2857
VEND:0572,vendor,300
VEND:0573,vendor,-1759
VEND:0574,vendor,-445
VEND:0575,vendor,80
VEND:0576,vendor,123
VEND:0577,vendor,282
VEND:0578,vendor,-2602
VEND:0579,vendor,-2012
VEND:0580,vendor,-2774
VEND:0581,vendor,-1864
VEND:0582,vendor,-137
VEND:0583,vendor,-1995
VEND:0584,vendor,299
VEND:0585,vendor,-3587
VEND:0586,vendor,-1440
VEND:0587,vendor,-2277
VEND:0588,vendor,-2204
VEND:0589,vendor,-2890
VEND:0590,vendor,-2583
VEND:0591,vendor,-1850
VEND:0592,vendor,-3024
VEND:0593,vendor,-2242
VEND:0594,vendor,-1661
VEND:0595,vendor,-2530
VEND:0596,vendor,-341
VEND:0597,vendor,-3573
VEND:0598,vendor,-2639
VEND:0599,vendor,-1654
VEND:0600,vendor,-1207
VEND:0601,vendor,186
VEND:0602,vendor,-3174
VEND:0603,vendor,-130
VEND:0604,vendor,-2480
VEND:0605,vendor,-2740
VEND:0606,vendor,-1586
VEND:0607,vendor,-1555
VEND:0608,vendor,-1007
VEND:0609,vendor,-2747
VEND:0610,vendor,129
VEND:0611,vendor,-3498
VEND:0612,vendor,-3472
VEND:0613,vendor,-571
VEND:0614,vendor,-2360
VEND:0615,vendor,-1239
VEND:0616,vendor,-449
VEND:0617,vendor,-2379
VEND:0618,vendor,-751
VEND:0619,vendor,32
VEND:0620,vendor,-2720
VEND:0621,vendor,-810
VEND:0622,vendor,162
VEND:0623,vendor,-1770
VEND:0624,vendor,-1085
VEND:0625,vendor,-3395
VEND:0626,vendor,67
VEND:0627,vendor,-509
VEND:0628,vendor,-1086
VEND:0629,vendor,-1790
VEND:0630,vendor,-3036
VEND:0631,vendor,-2751
VEND:0632,vendor,-2148
VEND:0633,vendor,-770
VEND:0634,vendor,-1297
VEND:0635,vendor,-780
VEND:0636,vendor,-362
VEND:0637,vendor,-299
VEND:0638,vendor,-2630
VEND:0639,vendor,-487
VEND:0640,vendor,-3443
VEND:0641,vendor,148
VEND:0642,vendor,-1553
VEND:0643,vendor,-2460
VEND:0644,vendor,-150
VEND:0645,vendor,-3296
VEND:0646,vendor,-617
VEND:0647,vendor,257
VEND:0648,vendor,-893
VEND:0649,vendor,-2909
VEND:0650,vendor,-325
VEND:0651,vendor,-1045
VEND:0652,vendor,-2024
VEND:0653,vendor,-2804
VEND:0654,vendor,-2236
VEND:0655,vendor,-2414
VEND:0656,vendor,-3174
VEND:0657,vendor,-2279
VEND:0658,vendor,-3516
VEND:0659,vendor,-3158
VEND:0660,vendor,-1204
VEND:0661,vendor,-2339
VEND:0662,vendor,-3453
VEND:0663,vendor,-2108
VEND:0664,vendor,-3024
VEND:0665,vendor,-1203
VEND:0666,vendor,-344
VEND:0667,vendor,9
VEND:0668,vendor,-327
VEND:0669,vendor,-3111
VEND:0670,vendor,-1071
VEND:0671,vendor,-2424
VEND:0672,vendor,-2274
VEND:0673,vendor,-3305
VEND:0674,vendor,259
VEND:0675,vendor,-2281
VEND:0676,vendor,-3264
VEND:0677,vendor,-3453
VEND:0678,vendor,-3232
VEND:0679,vendor,83
VEND:0680,vendor,237
VEND:0681,vendor,183
VEND:0682,vendor,-2496
VEND:0683,vendor,-225
VEND:0684,vendor,-699
VEND:0685,vendor,-1116
VEND:0686,vendor,-1796
VEND:0687,vendor,-3635
VEND:0688,vendor,-1992
VEND:0689,vendor,-2670
VEND:0690,vendor,-66
VEND:0691,vendor,11
VEND:0692,vendor,-1597
VEND:0693,vendor,-363
VEND:0694,vendor,-1263
VEND:0695,vendor,-1598
VEND:0696,vendor,59
VEND:0697,vendor,102
VEND:0698,vendor,-3316
VEND:0699,vendor,-566
VEND:0700,vendor,-2818
VEND:0701,vendor,-1795
VEND:0702,vendor,-694
VEND:0703,vendor,237
VEND:0704,vendor,-1923
VEND:0705,vendor,-1654
VEND:0706,vendor,108
VEND:0707,vendor,-2333
VEND:0708,vendor,-98
VEND:0709,vendor,-3535
VEND:0710,vendor,-595
VEND:0711,vendor,-3376
VEND:0712,vendor,-2285
VEND:0713,vendor,-2490
VEND:0714,vendor,83
VEND:0715,vendor,34
VEND:0716,vendor,-3021
VEND:0717,vendor,-1951
VEND:0718,vendor,-2643
VEND:0719,vendor,-876
VEND:0720,vendor,-1404
VEND:0721,vendor,-2364
VEND:0722,vendor,-2950
VEND:0723,vendor,-610
VEND:0724,vendor,-3453
VEND:0725,vendor,-2602
VEND:0726,vendor,-2117
VEND:0727,vendor,-1449
VEND:0728,vendor,-834
VEND:0729,vendor,-2584
VEND:0730,vendor,-1965
VEND:0731,vendor,-314
VEND:0732,vendor,-677
VEND:0733,vendor,-3183
VEND:0734,vendor,-2753
VEND:0735,vendor,-2797
VEND:0736,vendor,-566
VEND:0737,vendor,220
VEND:0738,vendor,215
VEND:0739,vendor,-3645
VEND:0740,vendor,-294
VEND:0741,vendor,-1802
VEND:0742,vendor,-2901
VEND:0743,vendor,-3628
VEND:0744,vendor,-3207
VEND:0745,vendor,-491
VEND:0746,vendor,-385
VEND:0747,vendor,-3112
VEND:0748,vendor,-2219
VEND:0749,vendor,-2710
VEND:0750,vendor,115
VEND:0751,vendor,-3254
VEND:0752,vendor,29
VEND:0753,vendor,-1468
VEND:0754,vendor,-166
VEND:0755,vendor,-2515
VEND:0756,vendor,212
VEND:0757,vendor,-2515
VEND:0758,vendor,-1813
VEND:0759,vendor,-3210
VEND:0760,vendor,-1470
VEND:0761,vendor,-2571
VEND:0762,vendor,-122
VEND:0763,vendor,-2877
VEND:0764,vendor,-3576
VEND:0765,vendor,-3518
VEND:0766,vendor,-3157
VEND:0767,vendor,20
VEND:0768,vendor,-455
VEND:0769,vendor,-2858
VEND:0770,vendor,-3576
VEND:0771,vendor,-457
VEND:0772,vendor,-3339
VEND:0773,vendor,-261
VEND:0774,vendor,-2602
VEND:0775,vendor,284
VEND:0776,vendor,-907
VEND:0777,vendor,-1349
VEND:0778,vendor,-967
VEND:0779,vendor,-1410
VEND:0780,vendor,-2963
VEND:0781,vendor,-873
VEND:0782,vendor,-1935
VEND:0783,vendor,-2639
VEND:0784,vendor,-3169
VEND:0785,vendor,-1811
VEND:0786,vendor,-258
VEND:0787,vendor,-2513
VEND:0788,vendor,-3514
VEND:0789,vendor,-408
VEND:0790,vendor,213
VEND:0791,vendor,-2828
VEND:0792,vendor,-3339
VEND:0793,vendor,-2530
VEND:0794,vendor,-3354
VEND:0795,vendor,-3059
VEND:0796,vendor,-2585
VEND:0797,vendor,-1064
VEND:0798,vendor,-2184
VEND:0799,vendor,-3180
VEND:0800,vendor,291
VEND:0801,vendor,-1328
VEND:0802,vendor,-1727
VEND:0803,vendor,-1443
VEND:0804,vendor,-3444
VEND:0805,vendor,-2229
VEND:0806,vendor,-295
VEND:0807,vendor,-2642
VEND:0808,vendor,-2524
VEND:0809,vendor,-2418
VEND:0810,vendor,-2566
VEND:0811,vendor,-1887
VEND:0812,vendor,-873
VEND:0813,vendor,229
VEND:0814,vendor,-3017
VEND:0815,vendor,126
VEND:0816,vendor,55
VEND:0817,vendor,-2450
VEND:0818,vendor,-1313
VEND:0819,vendor,-2260
VEND:0820,vendor,-1691
VEND:0821,vendor,-175
VEND:0822,vendor,-2620
VEND:0823,vendor,-585
VEND:0824,vendor,-2948
VEND:0825,vendor,185
VEND:0826,vendor,-351
VEND:0827,vendor,-3166
VEND:0828,vendor,-658
VEND:0829,vendor,-1589
VEND:0830,vendor,-2694
VEND:0831,vendor,-754
VEND:0832,vendor,-1669
VEND:0833,vendor,-1880
VEND:0834,vendor,-1665
VEND:0835,vendor,-2269
VEND:0836,vendor,-164
VEND:0837,vendor,-3125
VEND:0838,vendor,-1489
VEND:0839,vendor,-304
VEND:0840,vendor,-2984
VEND:0841,vendor,-1420
VEND:0842,vendor,-1203
VEND:0843,vendor,-1678
VEND:0844,vendor,-1746
VEND:0845,vendor,-3408
VEND:0846,vendor,-944
VEND:0847,vendor,-1706
VEND:0848,vendor,-83
VEND:0849,vendor,-2632
VEND:0850,vendor,-2206
VEND:0851,vendor,-2332
VEND:0852,vendor,-2128
VEND:0853,vendor,-3450
VEND:0854,vendor,-319
VEND:0855,vendor,-1090
VEND:0856,vendor,222
VEND:0857,vendor,-3047
VEND:0858,vendor,-714
VEND:0859,vendor,-158
VEND:0860,vendor,-1307
VEND:0861,vendor,287
VEND:0862,vendor,-3253
VEND:0863,vendor,-2345
VEND:0864,vendor,-321
VEND:0865,vendor,-654
VEND:0866,vendor,-1059
VEND:0867,vendor,-3542
VEND:0868,vendor,-755
VEND:0869,vendor,254
VEND:0870,vendor,-2059
VEND:0871,vendor,-690
VEND:0872,vendor,-309
VEND:0873,vendor,-775
VEND:0874,vendor,-3243
VEND:0875,vendor,166
VEND:0876,vendor,-2547
VEND:0877,vendor,-1511
VEND:0878,vendor,-1389
VEND:0879,vendor,-97
VEND:0880,vendor,-269
VEND:0881,vendor,-2285
VEND:0882,vendor,-616
VEND:0883,vendor,127
VEND:0884,vendor,-741
VEND:0885,vendor,-2453
VEND:0886,vendor,-1617
VEND:0887,vendor,-1044
VEND:0888,vendor,-1862
VEND:0889,vendor,-1805
VEND:0890,vendor,-1154
VEND:0891,vendor,-80
VEND:0892,vendor,-3316
VEND:0893,vendor,-1759
VEND:0894,vendor,-1606
VEND:0895,vendor,-986
VEND:0896,vendor,191
VEND:0897,vendor,-549
VEND:0898,vendor,-3572
VEND:0899,vendor,-2295
VEND:0900,vendor,-686
VEND:0901,vendor,-740
VEND:0902,vendor,38
VEND:0903,vendor,-2691
VEND:0904,vendor,-3012
VEND:0905,vendor,-1072
VEND:0906,vendor,-69
VEND:0907,vendor,-2919
VEND:0908,vendor,243
VEND:0909,vendor,-2420
VEND:0910,vendor,-1143
VEND:0911,vendor,-3311
VEND:0912,vendor,-1988
VEND:0913,vendor,-3494
VEND:0914,vendor,-2492
VEND:0915,vendor,-334
VEND:0916,vendor,-2663
VEND:0917,vendor,-2536
VEND:0918,vendor,-3308
VEND:0919,vendor,-1780
VEND:0920,vendor,-3606
VEND:0921,vendor,-154
VEND:0922,vendor,-1925
VEND:0923,vendor,-377
VEND:0924,vendor,-2696
VEND:0925,vendor,-3276
VEND:0926,vendor,-3154
VEND:0927,vendor,-2970
VEND:0928,vendor,-865
VEND:0929,vendor,-3387
VEND:0930,vendor,-2579
VEND:0931,vendor,127
VEND:0932,vendor,-404
VEND:0933,vendor,-3034
VEND:0934,vendor,-636
VEND:0935,vendor,-2250
VEND:0936,vendor,-1741
VEND:0937,vendor,-1077
VEND:0938,vendor,-272
VEND:0939,vendor,-446
VEND:0940,vendor,-2512
VEND:0941,vendor,-2487
VEND:0942,vendor,-3239
VEND:0943,vendor,-686
VEND:0944,vendor,-2538
VEND:0945,vendor,-2256
VEND:0946,vendor,52
VEND:0947,vendor,-633
VEND:0948,vendor,-1299
VEND:0949,vendor,-964
VEND:0950,vendor,-327
VEND:0951,vendor,-1984
VEND:0952,vendor,11
VEND:0953,vendor,-2835
VEND:0954,vendor,-876
VEND:0955,vendor,-2918
VEND:0956,vendor,-3121
VEND:0957,vendor,-2664
VEND:0958,vendor,-3630
VEND:0959,vendor,-629
VEND:0960,vendor,-946
VEND:0961,vendor,-2183
VEND:0962,vendor,-445
