transaction_id,in_cycle,cycle_length,in_cycle_ge3,cycle_amount_ratio,cycle_time_span,fan_in,fan_out,dest_in_degree,src_out_degree,lap_in_recur,lap_in_payers,lap_out_recur,lap_out_payees
fraud_1:4900000001:8,0,0,0,,,1,2,3,7,0,0,1,1
fraud_1:4900000001:9,0,0,0,,,3,2,14,8,1,1,2,2
fraud_1:4900000001:10,0,0,0,,,1,2,4,9,1,1,3,2
fraud_1:4900000002:1,0,0,0,,,1,0,1,0,0,0,0,0
fraud_1:4900000002:2,0,0,0,,,1,1,1,1,0,0,1,1
fraud_1:100000005:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000005:2,0,0,0,,,0,1,0,1,0,0,1,1
fraud_1:100000006:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000006:2,0,0,0,,,0,1,0,1,0,0,1,1
fraud_1:4900000003:1,0,0,0,,,3,0,15,0,0,0,0,0
fraud_1:4900000003:2,0,0,0,,,1,1,5,1,0,0,1,1
fraud_1:4900000003:3,0,0,0,,,4,2,16,2,0,0,0,0
fraud_1:4900000003:4,0,0,0,,,2,2,6,3,0,0,1,1
fraud_1:4900000003:5,0,0,0,,,4,2,17,4,0,0,0,0
fraud_1:4900000003:6,0,0,0,,,2,2,7,5,0,0,1,1
fraud_1:4900000003:7,0,0,0,,,4,2,18,6,0,0,0,0
fraud_1:4900000003:8,0,0,0,,,2,2,8,7,0,0,1,1
fraud_1:4900000003:9,0,0,0,,,4,2,19,8,1,1,2,2
fraud_1:4900000003:10,0,0,0,,,2,2,9,9,1,1,3,2
fraud_1:100000007:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000007:2,0,0,0,,,5,1,5,1,0,0,1,1
fraud_1:100000008:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000008:2,0,0,0,,,6,1,6,1,0,0,1,1
fraud_1:100000009:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000009:2,0,0,0,,,7,1,7,1,0,0,1,1
fraud_1:100000010:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:100000010:2,0,0,0,,,8,1,8,1,0,0,1,1
fraud_1:4900000004:1,0,0,0,,,2,0,2,0,0,0,0,0
fraud_1:4900000004:2,0,0,0,,,2,1,2,1,0,0,1,1
fraud_1:4900000005:1,0,0,0,,,4,0,20,0,0,0,0,0
fraud_1:4900000005:2,0,0,0,,,2,1,10,1,0,0,1,1
fraud_1:4900000005:3,0,0,0,,,5,2,21,2,0,0,0,0
fraud_1:4900000005:4,0,0,0,,,3,2,11,3,0,0,1,1
fraud_1:4900000005:5,0,0,0,,,5,2,22,4,0,0,0,0
fraud_1:4900000005:6,0,0,0,,,3,2,12,5,0,0,1,1
fraud_1:4900000005:7,0,0,0,,,5,2,23,6,0,0,0,0
fraud_1:4900000005:8,0,0,0,,,3,2,13,7,0,0,1,1
fraud_1:4900000005:9,0,0,0,,,5,2,24,8,0,0,0,0
fraud_1:4900000005:10,0,0,0,,,3,2,14,9,0,0,1,1
fraud_1:4900000006:1,0,0,0,,,3,0,3,0,0,0,0,0
fraud_1:4900000006:2,0,0,0,,,0,1,0,1,0,0,1,1
fraud_1:4900000006:3,0,0,0,,,4,2,4,2,0,0,0,0
fraud_1:4900000006:4,0,0,0,,,1,2,1,3,0,0,1,1
fraud_1:4900000006:5,0,0,0,,,4,2,5,4,0,0,0,0
fraud_1:4900000006:6,0,0,0,,,1,2,2,5,0,0,1,1
fraud_1:90000000:1,0,0,0,,,0,0,0,0,0,0,0,0
fraud_1:90000000:2,0,0,0,,,0,1,0,1,0,0,0,0
fraud_1:90000000:3,0,0,0,,,1,2,1,2,0,0,0,0
fraud_1:90000000:4,0,0,0,,,1,2,2,3,0,0,0,0
fraud_1:4900000007:1,0,0,0,,,4,0,6,0,1,1,0,0
fraud_1:4900000007:2,0,0,0,,,1,1,3,1,1,1,1,1
fraud_1:4900000007:3,0,0,0,,,5,2,7,2,0,0,0,0
fraud_1:4900000007:4,0,0,0,,,2,2,4,3,0,0,1,1
fraud_1:90000001:1,0,0,0,,,1,0,1,0,0,0,0,0
fraud_1:90000001:2,0,0,0,,,1,1,3,1,1,1,0,0
fraud_1:90000001:3,0,0,0,,,2,2,4,2,0,0,0,0
fraud_1:4900000008:1,0,0,0,,,5,0,8,0,0,0,0,0
fraud_1:4900000008:2,0,0,0,,,2,1,5,1,0,0,1,1
fraud_1:4900000008:3,0,0,0,,,6,2,9,2,1,1,0,0
fraud_1:4900000008:4,0,0,0,,,3,2,6,3,1,1,1,1
fraud_1:90000002:1,0,0,0,,,2,0,2,0,0,0,0,0
fraud_1:90000002:2,0,0,0,,,2,1,5,1,0,0,0,0
fraud_1:90000002:3,0,0,0,,,3,2,6,2,1,1,0,0
fraud_1:4900000009:1,0,0,0,,,6,0,10,0,1,1,0,0
fraud_1:4900000009:2,0,0,0,,,3,1,7,1,1,1,1,1
fraud_1:90000003:1,0,0,0,,,3,0,3,0,0,0,0,0
fraud_1:90000003:2,0,0,0,,,3,1,7,1,1,1,1,1
fraud_1:4900000010:1,0,0,0,,,7,0,11,0,0,0,0,0
fraud_1:4900000010:2,0,0,0,,,4,1,8,1,0,0,1,1
fraud_1:90000004:1,0,0,0,,,4,0,4,0,0,0,0,0
fraud_1:90000004:2,0,0,0,,,4,1,8,1,0,0,1,1
fraud_1:4900000011:1,0,0,0,,,8,0,12,0,0,0,0,0
fraud_1:4900000011:2,0,0,0,,,5,1,9,1,0,0,1,1
fraud_1:4900000011:3,0,0,0,,,9,2,13,2,0,0,0,0
fraud_1:4900000011:4,0,0,0,,,6,2,10,3,0,0,1,1
fraud_1:90000005:1,0,0,0,,,5,0,5,0,0,0,0,0
fraud_1:90000005:2,0,0,0,,,5,1,9,1,0,0,0,0
fraud_1:90000005:3,0,0,0,,,6,2,10,2,0,0,0,0
fraud_1:4900000012:1,0,0,0,,,9,0,14,0,0,0,0,0
fraud_1:4900000012:2,0,0,0,,,6,1,11,1,0,0,1,1
fraud_1:4900000012:3,0,0,0,,,10,2,15,2,0,0,0,0
fraud_1:4900000012:4,0,0,0,,,7,2,12,3,0,0,1,1
fraud_1:4900000012:5,0,0,0,,,10,2,16,4,0,0,0,0
fraud_1:4900000012:6,0,0,0,,,7,2,13,5,0,0,1,1
fraud_1:4900000013:1,0,0,0,,,10,0,17,0,1,1,0,0
fraud_1:4900000013:2,0,0,0,,,7,1,14,1,1,1,1,1
fraud_1:90000006:1,0,0,0,,,6,0,6,0,0,0,0,0
fraud_1:90000006:2,0,0,0,,,6,1,11,1,0,0,0,0
fraud_1:90000006:3,0,0,0,,,7,2,12,2,0,0,0,0
fraud_1:90000006:4,0,0,0,,,7,2,13,3,0,0,0,0
fraud_1:4900000014:1,0,0,0,,,11,0,18,0,0,0,0,0
fraud_1:4900000014:2,0,0,0,,,8,1,15,1,0,0,1,1
fraud_1:90000007:1,0,0,0,,,7,0,7,0,0,0,0,0
fraud_1:90000007:2,0,0,0,,,7,1,14,1,1,1,1,1
fraud_1:90000008:1,0,0,0,,,8,0,8,0,0,0,0,0
fraud_1:90000008:2,0,0,0,,,8,1,15,1,0,0,1,1
fraud_1:4900000015:1,0,0,0,,,12,0,19,0,1,1,0,0
fraud_1:4900000015:2,0,0,0,,,9,1,16,1,1,1,1,1
fraud_1:4900000016:1,0,0,0,,,13,0,20,0,0,0,0,0
fraud_1:4900000016:2,0,0,0,,,10,1,17,1,0,0,1,1
fraud_1:90000009:1,0,0,0,,,9,0,9,0,0,0,0,0
fraud_1:90000009:2,0,0,0,,,9,1,16,1,1,1,1,1
fraud_1:4900000017:1,0,0,0,,,14,0,21,0,0,0,0,0
fraud_1:4900000017:2,0,0,0,,,11,1,18,1,0,0,1,1
fraud_1:90000010:1,0,0,0,,,10,0,10,0,0,0,0,0
fraud_1:90000010:2,0,0,0,,,10,1,17,1,0,0,1,1
fraud_1:90000011:1,0,0,0,,,11,0,11,0,0,0,0,0
fraud_1:90000011:2,0,0,0,,,11,1,18,1,0,0,1,1
fraud_1:4900000018:1,0,0,0,,,15,0,22,0,2,2,0,0
fraud_1:4900000018:2,0,0,0,,,12,1,19,1,2,2,1,1
fraud_1:90000012:1,0,0,0,,,12,0,12,0,1,1,0,0
fraud_1:90000012:2,0,0,0,,,12,1,19,1,2,2,1,1
fraud_1:4900000019:1,0,0,0,,,16,0,23,0,0,0,0,0
fraud_1:4900000019:2,0,0,0,,,13,1,20,1,0,0,1,1
fraud_1:4900000019:3,0,0,0,,,17,2,24,2,1,1,0,0
fraud_1:4900000019:4,0,0,0,,,14,2,21,3,1,1,1,1
fraud_1:4900000019:5,0,0,0,,,17,2,25,4,3,3,0,0
fraud_1:4900000019:6,0,0,0,,,14,2,22,5,3,3,1,1
fraud_1:4900000020:1,0,0,0,,,17,0,26,0,1,1,0,0
fraud_1:4900000020:2,0,0,0,,,14,1,23,1,1,1,1,1
fraud_1:90000013:1,0,0,0,,,13,0,13,0,0,0,0,0
fraud_1:90000013:2,0,0,0,,,13,1,20,1,0,0,0,0
fraud_1:90000013:3,0,0,0,,,14,2,21,2,1,1,0,0
fraud_1:90000013:4,0,0,0,,,14,2,22,3,3,3,0,0
fraud_1:4900000021:1,0,0,0,,,18,0,27,0,2,2,0,0
fraud_1:4900000021:2,0,0,0,,,15,1,24,1,2,2,1,1
fraud_1:90000014:1,0,0,0,,,14,0,14,0,0,0,0,0
fraud_1:90000014:2,0,0,0,,,14,1,23,1,1,1,1,1
fraud_1:90000015:1,0,0,0,,,15,0,15,0,0,0,0,0
fraud_1:90000015:2,0,0,0,,,15,1,24,1,2,2,1,1
fraud_1:4900000022:1,0,0,0,,,19,0,28,0,2,2,0,0
fraud_1:4900000022:2,0,0,0,,,16,1,25,1,2,2,1,1
fraud_1:90000016:1,0,0,0,,,16,0,16,0,1,1,0,0
fraud_1:90000016:2,0,0,0,,,16,1,25,1,2,2,1,1
fraud_1:4900000023:1,0,0,0,,,20,0,29,0,1,1,0,0
fraud_1:4900000023:2,0,0,0,,,17,1,26,1,1,1,1,1
fraud_1:4900000024:1,0,0,0,,,21,0,30,0,1,1,0,0
fraud_1:4900000024:2,0,0,0,,,18,1,27,1,1,1,1,1
fraud_1:90000017:1,0,0,0,,,17,0,17,0,0,0,0,0
fraud_1:90000017:2,0,0,0,,,17,1,26,1,1,1,1,1
fraud_1:4900000025:1,0,0,0,,,22,0,31,0,2,2,0,0
fraud_1:4900000025:2,0,0,0,,,19,1,28,1,2,2,1,1
fraud_1:90000018:1,0,0,0,,,18,0,18,0,1,1,0,0
fraud_1:90000018:2,0,0,0,,,18,1,27,1,1,1,1,1
fraud_1:90000019:1,0,0,0,,,19,0,19,0,0,0,0,0
fraud_1:90000019:2,0,0,0,,,19,1,28,1,2,2,1,1
fraud_1:5000000002:1,0,0,0,,,5,0,25,0,0,0,0,0
fraud_1:5000000002:2,0,0,0,,,4,1,20,1,0,0,1,1
fraud_1:5000000002:3,0,0,0,,,6,2,26,2,0,0,0,0
fraud_1:5000000002:4,0,0,0,,,5,2,21,3,0,0,1,1
fraud_1:5000000002:5,0,0,0,,,6,2,27,4,1,1,2,2
fraud_1:5000000002:6,0,0,0,,,5,2,22,5,1,1,3,2
fraud_1:5000000002:7,0,0,0,,,6,2,28,6,0,0,0,0
fraud_1:5000000002:8,0,0,0,,,5,2,23,7,0,0,1,1
fraud_1:5000000002:9,0,0,0,,,6,2,29,8,0,0,0,0
fraud_1:5000000002:10,0,0,0,,,5,2,24,9,0,0,1,1
fraud_1:5000000002:11,0,0,0,,,6,2,30,10,0,0,0,0
fraud_1:5000000002:12,0,0,0,,,5,2,25,11,0,0,1,1
fraud_1:4900000026:1,0,0,0,,,23,0,32,0,0,0,0,0
fraud_1:4900000026:2,0,0,0,,,3,1,3,1,0,0,1,1
fraud_1:4900000027:1,0,0,0,,,6,0,31,0,0,0,0,0
fraud_1:4900000027:2,0,0,0,,,3,1,15,1,0,0,1,1
fraud_1:4900000027:3,0,0,0,,,7,2,32,2,0,0,0,0
fraud_1:4900000027:4,0,0,0,,,4,2,16,3,0,0,1,1
fraud_1:4900000027:5,0,0,0,,,7,2,33,4,0,0,0,0
fraud_1:4900000027:6,0,0,0,,,4,2,17,5,0,0,1,1
fraud_1:4900000027:7,0,0,0,,,7,2,34,6,0,0,0,0
fraud_1:4900000027:8,0,0,0,,,4,2,18,7,0,0,1,1
fraud_1:4900000027:9,0,0,0,,,7,2,35,8,0,0,0,0
fraud_1:4900000027:10,0,0,0,,,4,2,19,9,0,0,1,1
fraud_1:5000000003:1,0,0,0,,,7,0,36,0,0,0,0,0
fraud_1:5000000003:2,0,0,0,,,5,1,26,1,0,0,1,1
fraud_1:5000000003:3,0,0,0,,,8,2,37,2,1,1,0,0
fraud_1:5000000003:4,0,0,0,,,6,2,27,3,0,0,1,1
fraud_1:5100000002:1,0,0,0,,,2,0,2,0,0,0,0,0
fraud_1:5100000002:2,0,0,0,,,6,1,28,1,1,1,0,0
fraud_1:5100000002:3,0,0,0,,,7,2,29,2,2,1,0,0
fraud_1:5100000002:4,0,0,0,,,7,2,30,3,3,2,1,1
fraud_1:5100000002:5,0,0,0,,,7,2,31,4,1,1,0,0
fraud_1:5100000002:6,0,0,0,,,7,2,32,5,1,1,0,0
fraud_1:5100000002:7,0,0,0,,,7,2,33,6,1,1,0,0
fraud_1:5100000003:1,0,0,0,,,3,0,3,0,0,0,0,0
fraud_1:5100000003:2,0,0,0,,,7,1,34,1,1,1,0,0
fraud_1:5100000003:3,0,0,0,,,8,2,35,2,1,1,0,0
fraud_1:4900000028:1,0,0,0,,,24,0,33,0,0,0,0,0
fraud_1:4900000028:2,0,0,0,,,20,1,29,1,0,0,1,1
fraud_1:4900000028:3,0,0,0,,,25,2,34,2,0,0,0,0
fraud_1:4900000028:4,0,0,0,,,21,2,30,3,0,0,1,1
fraud_1:4900000028:5,0,0,0,,,25,2,35,4,0,0,0,0
fraud_1:4900000028:6,0,0,0,,,21,2,31,5,0,0,1,1
fraud_1:4900000028:7,0,0,0,,,25,2,36,6,2,2,0,0
fraud_1:4900000028:8,0,0,0,,,21,2,32,7,2,2,1,1
fraud_1:4900000029:1,0,0,0,,,25,0,37,0,1,1,0,0
fraud_1:4900000029:2,0,0,0,,,21,1,33,1,1,1,1,1
fraud_1:4900000029:3,0,0,0,,,26,2,38,2,1,1,0,0
fraud_1:4900000029:4,0,0,0,,,22,2,34,3,1,1,1,1
fraud_1:4900000029:5,0,0,0,,,26,2,39,4,0,0,0,0
fraud_1:4900000029:6,0,0,0,,,22,2,35,5,0,0,1,1
fraud_1:4900000029:7,0,0,0,,,26,2,40,6,0,0,0,0
fraud_1:4900000029:8,0,0,0,,,22,2,36,7,0,0,1,1
fraud_1:90000020:1,0,0,0,,,20,0,20,0,1,1,0,0
fraud_1:90000020:2,0,0,0,,,20,1,29,1,2,2,0,0
fraud_1:90000020:3,0,0,0,,,21,2,30,2,1,1,0,0
fraud_1:90000021:1,0,0,0,,,21,0,21,0,1,1,0,0
fraud_1:90000021:2,0,0,0,,,21,1,31,1,0,0,0,0
fraud_1:90000021:3,0,0,0,,,22,2,32,2,3,3,0,0
fraud_1:4900000030:1,0,0,0,,,26,0,41,0,0,0,0,0
fraud_1:4900000030:2,0,0,0,,,22,1,37,1,0,0,1,1
fraud_1:4900000030:3,0,0,0,,,27,2,42,2,0,0,0,0
fraud_1:4900000030:4,0,0,0,,,23,2,38,3,0,0,1,1
fraud_1:4900000030:5,0,0,0,,,27,2,43,4,0,0,0,0
fraud_1:4900000030:6,0,0,0,,,23,2,39,5,0,0,1,1
fraud_1:4900000030:7,0,0,0,,,27,2,44,6,1,1,2,2
fraud_1:4900000030:8,0,0,0,,,23,2,40,7,1,1,3,2
fraud_1:90000022:1,0,0,0,,,22,0,22,0,0,0,0,0
fraud_1:90000022:2,0,0,0,,,22,1,33,1,1,1,0,0
fraud_1:90000022:3,0,0,0,,,23,2,34,2,1,1,0,0
fraud_1:90000022:4,0,0,0,,,23,2,35,3,0,0,0,0
fraud_1:90000023:1,0,0,0,,,23,0,23,0,1,1,0,0
fraud_1:90000023:2,0,0,0,,,23,1,36,1,2,2,1,1
fraud_1:4900000031:1,0,0,0,,,27,0,45,0,1,1,0,0
fraud_1:4900000031:2,0,0,0,,,23,1,41,1,1,1,1,1
fraud_1:4900000031:3,0,0,0,,,28,2,46,2,0,0,0,0
fraud_1:4900000031:4,0,0,0,,,24,2,42,3,0,0,1,1
fraud_1:4900000031:5,0,0,0,,,28,2,47,4,0,0,0,0
fraud_1:4900000031:6,0,0,0,,,24,2,43,5,0,0,1,1
fraud_1:90000024:1,0,0,0,,,24,0,24,0,0,0,0,0
fraud_1:90000024:2,0,0,0,,,24,1,37,1,1,1,0,0
fraud_1:90000024:3,0,0,0,,,25,2,38,2,2,2,0,0
fraud_1:90000024:4,0,0,0,,,25,2,39,3,1,1,0,0
fraud_1:90000024:5,0,0,0,,,25,2,40,4,2,2,1,1
fraud_1:90000025:1,0,0,0,,,25,0,25,0,0,0,0,0
fraud_1:90000025:2,0,0,0,,,25,1,41,1,1,1,0,0
fraud_1:90000025:3,0,0,0,,,26,2,42,2,1,1,0,0
fraud_1:90000025:4,0,0,0,,,26,2,43,3,2,2,0,0
fraud_1:4900000032:1,0,0,0,,,28,0,48,0,0,0,0,0
fraud_1:4900000032:2,0,0,0,,,24,1,44,1,0,0,1,1
fraud_1:4900000032:3,0,0,0,,,29,2,49,2,0,0,0,0
fraud_1:4900000032:4,0,0,0,,,25,2,45,3,0,0,1,1
fraud_1:4900000032:5,0,0,0,,,29,2,50,4,1,1,0,0
fraud_1:4900000032:6,0,0,0,,,25,2,46,5,1,1,1,1
fraud_1:4900000032:7,0,0,0,,,29,2,51,6,2,2,0,0
fraud_1:4900000032:8,0,0,0,,,25,2,47,7,2,2,1,1
fraud_1:90000026:1,0,0,0,,,26,0,26,0,0,0,0,0
fraud_1:90000026:2,0,0,0,,,26,1,44,1,1,1,0,0
fraud_1:90000026:3,0,0,0,,,27,2,45,2,3,3,0,0
fraud_1:90000026:4,0,0,0,,,27,2,46,3,3,3,0,0
fraud_1:90000027:1,0,0,0,,,27,0,27,0,0,0,0,0
fraud_1:90000027:2,0,0,0,,,27,1,47,1,0,0,1,1
fraud_1:4900000033:1,0,0,0,,,29,0,52,0,0,0,0,0
fraud_1:4900000033:2,0,0,0,,,25,1,48,1,0,0,1,1
fraud_1:4900000033:3,0,0,0,,,30,2,53,2,2,2,0,0
fraud_1:4900000033:4,0,0,0,,,26,2,49,3,2,2,1,1
fraud_1:4900000033:5,0,0,0,,,30,2,54,4,0,0,0,0
fraud_1:4900000033:6,0,0,0,,,26,2,50,5,0,0,1,1
fraud_1:4900000033:7,0,0,0,,,30,2,55,6,0,0,0,0
fraud_1:4900000033:8,0,0,0,,,26,2,51,7,0,0,1,1
fraud_1:90000028:1,0,0,0,,,28,0,28,0,1,1,0,0
fraud_1:90000028:2,0,0,0,,,28,1,48,1,2,1,0,0
fraud_1:90000028:3,0,0,0,,,29,2,49,2,3,3,0,0
fraud_1:90000028:4,0,0,0,,,29,2,50,3,0,0,0,0
fraud_1:4900000034:1,0,0,0,,,30,0,56,0,0,0,0,0
fraud_1:4900000034:2,0,0,0,,,26,1,52,1,1,1,1,1
fraud_1:4900000034:3,0,0,0,,,31,2,57,2,2,2,0,0
fraud_1:4900000034:4,0,0,0,,,27,2,53,3,2,2,1,1
fraud_1:4900000034:5,0,0,0,,,31,2,58,4,2,1,0,0
fraud_1:4900000034:6,0,0,0,,,27,2,54,5,2,1,1,1
fraud_1:4900000034:7,0,0,0,,,31,2,59,6,1,1,0,0
fraud_1:4900000034:8,0,0,0,,,27,2,55,7,1,1,1,1
fraud_1:90000029:1,0,0,0,,,29,0,29,0,1,1,0,0
fraud_1:90000029:2,0,0,0,,,29,1,51,1,1,1,1,1
fraud_1:90000030:1,0,0,0,,,30,0,30,0,1,1,0,0
fraud_1:90000030:2,0,0,0,,,30,1,52,1,2,2,0,0
fraud_1:90000030:3,0,0,0,,,31,2,53,2,4,4,0,0
fraud_1:4900000035:1,0,0,0,,,31,0,60,0,0,0,0,0
fraud_1:4900000035:2,0,0,0,,,27,1,56,1,0,0,1,1
fraud_1:4900000035:3,0,0,0,,,32,2,61,2,1,1,2,2
fraud_1:4900000035:4,0,0,0,,,28,2,57,3,1,1,3,2
fraud_1:4900000035:5,0,0,0,,,32,2,62,4,0,0,0,0
fraud_1:4900000035:6,0,0,0,,,28,2,58,5,0,0,1,1
fraud_1:4900000035:7,0,0,0,,,32,2,63,6,1,1,0,0
fraud_1:4900000035:8,0,0,0,,,28,2,59,7,1,1,1,1
fraud_1:90000031:1,0,0,0,,,31,0,31,0,0,0,0,0
fraud_1:90000031:2,0,0,0,,,31,1,54,1,4,3,0,0
fraud_1:90000031:3,0,0,0,,,32,2,55,2,2,2,0,0
fraud_1:90000032:1,0,0,0,,,32,0,32,0,0,0,0,0
fraud_1:90000032:2,0,0,0,,,32,1,56,1,0,0,0,0
fraud_1:90000032:3,0,0,0,,,33,2,57,2,1,1,1,1
fraud_1:90000032:4,0,0,0,,,33,2,58,3,3,2,0,0
fraud_1:4900000036:1,0,0,0,,,32,0,64,0,0,0,0,0
fraud_1:4900000036:2,0,0,0,,,28,1,60,1,0,0,1,1
fraud_1:90000033:1,0,0,0,,,33,0,33,0,1,1,0,0
fraud_1:90000033:2,0,0,0,,,33,1,59,1,0,0,1,1
fraud_1:4900000037:1,0,0,0,,,33,0,65,0,2,2,0,0
fraud_1:4900000037:2,0,0,0,,,29,1,61,1,2,2,1,1
fraud_1:90000034:1,0,0,0,,,34,0,34,0,1,1,0,0
fraud_1:90000034:2,0,0,0,,,34,1,60,1,2,2,1,1
fraud_1:90000035:1,0,0,0,,,35,0,35,0,1,1,0,0
fraud_1:90000035:2,0,0,0,,,35,1,61,1,3,3,1,1
fraud_1:4900000038:1,0,0,0,,,34,0,66,0,2,2,0,0
fraud_1:4900000038:2,0,0,0,,,30,1,62,1,2,2,1,1
fraud_1:4900000038:3,0,0,0,,,35,2,67,2,0,0,0,0
fraud_1:4900000038:4,0,0,0,,,31,2,63,3,0,0,1,1
fraud_1:4900000038:5,0,0,0,,,35,2,68,4,0,0,0,0
fraud_1:4900000038:6,0,0,0,,,31,2,64,5,0,0,1,1
fraud_1:4900000038:7,0,0,0,,,35,2,69,6,1,1,0,0
fraud_1:4900000038:8,0,0,0,,,31,2,65,7,1,1,1,1
fraud_1:4900000039:1,0,0,0,,,35,0,70,0,0,0,0,0
fraud_1:4900000039:2,0,0,0,,,31,1,66,1,0,0,1,1
fraud_1:90000036:1,0,0,0,,,36,0,36,0,1,1,0,0
fraud_1:90000036:2,0,0,0,,,36,1,62,1,2,2,1,1
fraud_1:90000037:1,0,0,0,,,37,0,37,0,0,0,0,0
fraud_1:90000037:2,0,0,0,,,37,1,63,1,1,1,0,0
fraud_1:90000037:3,0,0,0,,,38,2,64,2,2,2,0,0
fraud_1:90000037:4,0,0,0,,,38,2,65,3,2,2,0,0
fraud_1:90000038:1,0,0,0,,,38,0,38,0,1,1,0,0
fraud_1:90000038:2,0,0,0,,,38,1,66,1,3,3,1,1
fraud_1:4900000040:1,0,0,0,,,36,0,71,0,1,1,0,0
fraud_1:4900000040:2,0,0,0,,,32,1,67,1,1,1,1,1
fraud_1:90000039:1,0,0,0,,,39,0,39,0,1,1,0,0
fraud_1:90000039:2,0,0,0,,,39,1,67,1,1,1,1,1
fraud_1:4900000041:1,0,0,0,,,37,0,72,0,3,2,0,0
fraud_1:4900000041:2,0,0,0,,,33,1,68,1,3,2,1,1
fraud_1:90000040:1,0,0,0,,,40,0,40,0,2,2,0,0
fraud_1:90000040:2,0,0,0,,,40,1,68,1,3,2,1,1
